SETTLEMENTDATE,REGIONID,RRP
2025-07-01 00:05:00,VIC1,176.61966
2025-07-01 00:10:00,VIC1,182.30989
2025-07-01 00:15:00,VIC1,169.4761
2025-07-01 00:20:00,VIC1,184.67607
2025-07-01 00:25:00,VIC1,185.739
2025-07-01 00:30:00,VIC1,187.3188
2025-07-01 00:35:00,VIC1,185.42933
2025-07-01 00:40:00,VIC1,187.56786
2025-07-01 00:45:00,VIC1,162.06
2025-07-01 00:50:00,VIC1,182.30989
2025-07-01 00:55:00,VIC1,164.62702
2025-07-01 01:00:00,VIC1,162.06
2025-07-01 01:05:00,VIC1,162.06
2025-07-01 01:10:00,VIC1,182.77973
2025-07-01 01:15:00,VIC1,162.06
2025-07-01 01:20:00,VIC1,179.27602
2025-07-01 01:25:00,VIC1,162.06
2025-07-01 01:30:00,VIC1,162.06
2025-07-01 01:35:00,VIC1,183.04165
2025-07-01 01:40:00,VIC1,180.45781
2025-07-01 01:45:00,VIC1,180.91697
2025-07-01 01:50:00,VIC1,181.64155
2025-07-01 01:55:00,VIC1,166.03292
2025-07-01 02:00:00,VIC1,162.94012
2025-07-01 02:05:00,VIC1,160.34664
2025-07-01 02:10:00,VIC1,161.52676
2025-07-01 02:15:00,VIC1,159.02375
2025-07-01 02:20:00,VIC1,145.61798
2025-07-01 02:25:00,VIC1,143.94711
2025-07-01 02:30:00,VIC1,145.61798
2025-07-01 02:35:00,VIC1,161.2526
2025-07-01 02:40:00,VIC1,141.40983
2025-07-01 02:45:00,VIC1,133.45745
2025-07-01 02:50:00,VIC1,141.54293
2025-07-01 02:55:00,VIC1,111.04392
2025-07-01 03:00:00,VIC1,142.73462
2025-07-01 03:05:00,VIC1,105.66632
2025-07-01 03:10:00,VIC1,108.38652
2025-07-01 03:15:00,VIC1,131.59812
2025-07-01 03:20:00,VIC1,130.14234
2025-07-01 03:25:00,VIC1,107.6014
2025-07-01 03:30:00,VIC1,121.35
2025-07-01 03:35:00,VIC1,104.88383
2025-07-01 03:40:00,VIC1,131.16319
2025-07-01 03:45:00,VIC1,121.35
2025-07-01 03:50:00,VIC1,116.34863
2025-07-01 03:55:00,VIC1,104.70883
2025-07-01 04:00:00,VIC1,107.08169
2025-07-01 04:05:00,VIC1,118.17537
2025-07-01 04:10:00,VIC1,118.12011
2025-07-01 04:15:00,VIC1,118.11491
2025-07-01 04:20:00,VIC1,117.16568
2025-07-01 04:25:00,VIC1,117.92937
2025-07-01 04:30:00,VIC1,114.15821
2025-07-01 04:35:00,VIC1,102.95783
2025-07-01 04:40:00,VIC1,114.52046
2025-07-01 04:45:00,VIC1,117.30093
2025-07-01 04:50:00,VIC1,118.03856
2025-07-01 04:55:00,VIC1,117.92931
2025-07-01 05:00:00,VIC1,115.30754
2025-07-01 05:05:00,VIC1,79.72
2025-07-01 05:10:00,VIC1,114.65201
2025-07-01 05:15:00,VIC1,124.57494
2025-07-01 05:20:00,VIC1,122.02
2025-07-01 05:25:00,VIC1,122.02
2025-07-01 05:30:00,VIC1,122.02
2025-07-01 05:35:00,VIC1,153.09153
2025-07-01 05:40:00,VIC1,122.02
2025-07-01 05:45:00,VIC1,134.87979
2025-07-01 05:50:00,VIC1,133.91523
2025-07-01 05:55:00,VIC1,129.95499
2025-07-01 06:00:00,VIC1,167.33729
2025-07-01 06:05:00,VIC1,122.02
2025-07-01 06:10:00,VIC1,138.567
2025-07-01 06:15:00,VIC1,156.43623
2025-07-01 06:20:00,VIC1,156.39732
2025-07-01 06:25:00,VIC1,167.91504
2025-07-01 06:30:00,VIC1,197.0759
