C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2025/08/08,09:36:13,001754609773098,MONTHLY_ARCHIVE,001754609773098
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2025/07/01 00:05:00",1,NSW1,20250630241,0,176.71,0,176.71,0,0,"2025/07/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.99,3.99,0,FIRM,176.71,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.99,852612.65903,5633.82397,3114.20499,390.48803,17457.75648,490.13359,1032.75162,468.75231,4664.36198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,796.5661,3.78
D,DISPATCH,PRICE,5,"2025/07/01 00:05:00",1,QLD1,20250630241,0,153.51486,0,153.51486,0,0,"2025/07/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.99,3.99,0,FIRM,153.51486,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.99,282861.87471,5633.82397,3114.20499,390.48803,17457.75648,490.13359,1032.75162,468.75231,4664.36198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,796.5661,3.78
D,DISPATCH,PRICE,5,"2025/07/01 00:05:00",1,SA1,20250630241,0,172.48363,0,172.48363,0,0,"2025/07/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.39,0.39,0,0.39,0.39,0,0.1,0.1,0,3.99,3.99,0,FIRM,172.48363,0.38,0.38,0.32,4.99,0.39,0.39,0.1,3.99,843055.15655,5633.86397,3115.47499,390.49803,17457.76648,2600.06522,3132.2784,521.0409,4716.65057,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,796.5661,2848.69
D,DISPATCH,PRICE,5,"2025/07/01 00:05:00",1,TAS1,20250630241,0,155.64667,0,155.64667,0,0,"2025/07/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,8.72,8.72,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,4.27,4.27,0,FIRM,155.64667,0.38,0.38,0.32,8.72,0.1,0.38,0.1,4.27,567770.68125,12515.54967,1007.35603,441.60803,202801.71965,4367.61961,979.77017,346.10449,18029.07413,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,704.65393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:05:00",1,VIC1,20250630241,0,176.61966,0,176.61966,0,0,"2025/07/01 00:00:03",0.38,0.38,0,0.38,0.38,0,0.32,0.32,0,4.99,4.99,0,0.1,0.1,0,0.38,0.38,0,0.1,0.1,0,3.99,3.99,0,FIRM,176.61966,0.38,0.38,0.32,4.99,0.1,0.38,0.1,3.99,887233.97303,5633.82397,3114.20499,390.48803,17457.75648,490.13359,1032.75162,468.75231,4664.36198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,796.5661,3.78
D,DISPATCH,PRICE,5,"2025/07/01 00:10:00",1,NSW1,20250630242,0,182.67388,0,182.67388,0,0,"2025/07/01 00:05:03",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,4.99,4.99,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,1.2,1.2,0,FIRM,182.67388,0.38,0.36,0.32,4.99,0.38,0.38,0.1,1.2,852718.75291,5633.97397,3114.46499,390.70803,17458.75648,490.12359,1032.13162,468.85231,4665.56198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.0461,3.78
D,DISPATCH,PRICE,5,"2025/07/01 00:10:00",1,QLD1,20250630242,0,158.49201,0,158.49201,0,0,"2025/07/01 00:05:03",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,4.99,4.99,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,1.2,1.2,0,FIRM,158.49201,0.38,0.36,0.32,4.99,0.38,0.38,0.1,1.2,282944.9167,5633.97397,3114.46499,390.70803,17458.75648,490.12359,1032.13162,468.85231,4665.56198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.0461,3.78
D,DISPATCH,PRICE,5,"2025/07/01 00:10:00",1,SA1,20250630242,0,178.98456,0,178.98456,0,0,"2025/07/01 00:05:03",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,4.99,4.99,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,1.2,1.2,0,FIRM,178.98456,0.38,0.36,0.32,4.99,0.38,0.38,0.1,1.2,843242.14111,5634.01397,3115.73499,390.71803,17458.76648,2600.05522,3131.6584,521.1409,4717.85057,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.0461,2848.69
D,DISPATCH,PRICE,5,"2025/07/01 00:10:00",1,TAS1,20250630242,0,189.86333,0,189.86333,0,0,"2025/07/01 00:05:03",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,7.72,7.72,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,2.27,2.27,0,FIRM,189.86333,0.38,0.36,0.32,7.72,0.38,0.38,0.1,2.27,567959.21372,12515.54967,1007.33603,441.56803,202800.36965,4367.61961,979.77017,346.20449,17881.24499,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,705.13393,2.25
D,DISPATCH,PRICE,5,"2025/07/01 00:10:00",1,VIC1,20250630242,0,182.30989,0,182.30989,0,0,"2025/07/01 00:05:03",0.38,0.38,0,0.36,0.36,0,0.32,0.32,0,4.99,4.99,0,0.38,0.38,0,0.38,0.38,0,0.1,0.1,0,1.2,1.2,0,FIRM,182.30989,0.38,0.36,0.32,4.99,0.38,0.38,0.1,1.2,887416.27292,5633.97397,3114.46499,390.70803,17458.75648,490.12359,1032.13162,468.85231,4665.56198,NOT_OCD,NOT_MII,0.86,0.86,0,0,0,0,0.86,0,797.0461,3.78
